batch_id,ingestion_timestamp,role,shift,source_file,staff_id,staff_name,store_id,staff_sk,role_level,silver_processed_at
20260603,2026-06-03T17:39:04.695883,Chef,Morning,staff_S002_20260603.json,ST005,Zaid Talwar,S002,S002_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Chef,Evening,staff_S002_20260603.json,ST006,Anjali Kunda,S002,S002_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Cashier,Morning,staff_S002_20260603.json,ST007,Matthew Lad,S002,S002_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Cashier,Evening,staff_S002_20260603.json,ST008,Kashvi Bala,S002,S002_ST008,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Delivery Executive,Morning,staff_S002_20260603.json,ST009,Jatin Goel,S002,S002_ST009,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Delivery Executive,Unknown,staff_S002_20260603.json,ST010,Gavin Tara,S002,S002_ST010,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Delivery Executive,Evening,staff_S002_20260603.json,ST011,Champak Parmer,S002,S002_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Delivery Executive,Morning,staff_S002_20260603.json,ST012,Aradhana Sood,S002,S002_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Delivery Executive,Evening,staff_S002_20260603.json,ST013,Abeer Raval,S002,S002_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Cleaner,Evening,staff_S002_20260603.json,ST014,Laksh Borah,S002,S002_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:04.695883,Cleaner,Morning,staff_S002_20260603.json,ST015,Zarna Date,S002,S002_ST015,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Manager,Morning,staff_S003_20260603.json,ST001,Raksha Narayanan,S003,S003_ST001,Operations,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Chef,Morning,staff_S003_20260603.json,ST002,Samar Bhandari,S003,S003_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Chef,Morning,staff_S003_20260603.json,ST003,Shaurya Ramesh,S003,S003_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Chef,Morning,staff_S003_20260603.json,ST004,Anthony Peri,S003,S003_ST004,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Chef,Morning,staff_S003_20260603.json,ST005,Owen Sarna,S003,S003_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Chef,Evening,staff_S003_20260603.json,ST006,Chandani Dhingra,S003,S003_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Cashier,Morning,staff_S003_20260603.json,ST007,Sneha Suresh,S003,S003_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Unknown,Morning,staff_S003_20260603.json,ST008,Tanvi Deshmukh,S003,S003_ST008,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Delivery Executive,Morning,staff_S003_20260603.json,ST009,Qushi Borah,S003,S003_ST009,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Delivery Executive,Evening,staff_S003_20260603.json,ST010,Neelima Thaman,S003,S003_ST010,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Delivery Executive,Unknown,staff_S003_20260603.json,ST011,Maanav Bajaj,S003,S003_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Delivery Executive,Evening,staff_S003_20260603.json,ST012,Chasmum Kapoor,S003,S003_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Delivery Executive,Evening,staff_S003_20260603.json,ST013,Vrinda Panchal,S003,S003_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Cleaner,Morning,staff_S003_20260603.json,ST014,Faraj Raj,S003,S003_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:00.876080,Cleaner,Evening,staff_S003_20260603.json,ST015,Chaaya Balakrishnan,S003,S003_ST015,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Manager,Evening,staff_S004_20260603.json,ST001,Yashodhara Sharma,S004,S004_ST001,Operations,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Chef,Evening,staff_S004_20260603.json,ST002,Abeer Varkey,S004,S004_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Chef,Evening,staff_S004_20260603.json,ST003,Jhalak Pandey,S004,S004_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Chef,Morning,staff_S004_20260603.json,ST004,Ishani Baria,S004,S004_ST004,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Chef,Evening,staff_S004_20260603.json,ST005,Arunima Bahl,S004,S004_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Chef,Evening,staff_S004_20260603.json,ST006,Kai Seshadri,S004,S004_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Cashier,Morning,staff_S004_20260603.json,ST007,Raghav Panchal,S004,S004_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Cashier,Morning,staff_S004_20260603.json,ST008,Omaja Uppal,S004,S004_ST008,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Unknown,Evening,staff_S004_20260603.json,ST009,Sachi Goyal,S004,S004_ST009,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Delivery Executive,Evening,staff_S004_20260603.json,ST010,Darsh Sarkar,S004,S004_ST010,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Delivery Executive,Unknown,staff_S004_20260603.json,ST011,Maya Sunder,S004,S004_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Delivery Executive,Morning,staff_S004_20260603.json,ST012,Ojasvi Bhalla,S004,S004_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Delivery Executive,Morning,staff_S004_20260603.json,ST013,Falan Seshadri,S004,S004_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Cleaner,Morning,staff_S004_20260603.json,ST014,Udant Gokhale,S004,S004_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:02.237833,Cleaner,Morning,staff_S004_20260603.json,ST015,Wahab Ramanathan,S004,S004_ST015,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Manager,Evening,staff_S005_20260603.json,ST001,Charita Datta,S005,S005_ST001,Operations,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Chef,Evening,staff_S005_20260603.json,ST002,Gabriel Pathak,S005,S005_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Chef,Morning,staff_S005_20260603.json,ST003,Urvashi Pillay,S005,S005_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Chef,Morning,staff_S005_20260603.json,ST004,Vihaan Ram,S005,S005_ST004,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Chef,Evening,staff_S005_20260603.json,ST005,Jackson Dalal,S005,S005_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Chef,Morning,staff_S005_20260603.json,ST006,Nidhi Sekhon,S005,S005_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Cashier,Morning,staff_S005_20260603.json,ST007,Xavier Raghavan,S005,S005_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Unknown,Evening,staff_S005_20260603.json,ST008,Utkarsh Bawa,S005,S005_ST008,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Delivery Executive,Morning,staff_S005_20260603.json,ST009,Lajita Andra,S005,S005_ST009,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Delivery Executive,Unknown,staff_S005_20260603.json,ST010,Tanveer Naik,S005,S005_ST010,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Delivery Executive,Morning,staff_S005_20260603.json,ST011,Avi Saini,S005,S005_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Delivery Executive,Morning,staff_S005_20260603.json,ST012,Harish Krishnan,S005,S005_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Delivery Executive,Morning,staff_S005_20260603.json,ST013,Pahal Agate,S005,S005_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Cleaner,Evening,staff_S005_20260603.json,ST014,Rishi Wadhwa,S005,S005_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:39:20.186841,Cleaner,Evening,staff_S005_20260603.json,ST015,Mekhala Vora,S005,S005_ST015,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Manager,Evening,staff_S006_20260603.json,ST001,Finn Anand,S006,S006_ST001,Operations,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Chef,Morning,staff_S006_20260603.json,ST002,Lajita Rajan,S006,S006_ST002,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Chef,Morning,staff_S006_20260603.json,ST003,Champak Sarkar,S006,S006_ST003,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Chef,Morning,staff_S006_20260603.json,ST004,Kabir Krishnamurthy,S006,S006_ST004,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Chef,Morning,staff_S006_20260603.json,ST005,Ekanta Minhas,S006,S006_ST005,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Chef,Morning,staff_S006_20260603.json,ST006,Vyanjana Kari,S006,S006_ST006,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Cashier,Morning,staff_S006_20260603.json,ST007,Jagat Natarajan,S006,S006_ST007,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Unknown,Evening,staff_S006_20260603.json,ST008,Frederick Behl,S006,S006_ST008,Unknown,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Delivery Executive,Morning,staff_S006_20260603.json,ST009,Divya Subramanian,S006,S006_ST009,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Delivery Executive,Unknown,staff_S006_20260603.json,ST010,Pahal Keer,S006,S006_ST010,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Delivery Executive,Morning,staff_S006_20260603.json,ST011,Guneet Aggarwal,S006,S006_ST011,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Delivery Executive,Evening,staff_S006_20260603.json,ST012,Tripti Ganesh,S006,S006_ST012,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Delivery Executive,Evening,staff_S006_20260603.json,ST013,Harsh Dora,S006,S006_ST013,Frontline,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Cleaner,Morning,staff_S006_20260603.json,ST014,Theodore Kapadia,S006,S006_ST014,Support,2026-06-03T17:41:47.201Z
20260603,2026-06-03T17:38:57.867061,Cleaner,Evening,staff_S006_20260603.json,ST015,Bhavini Walia,S006,S006_ST015,Support,2026-06-03T17:41:47.201Z
